RightAsc;Decl;  Mag B  ;  Mag V  ;  Mag R  
156.098773;-74.03161108;4.36;4.01;3.67
303.3494419;56.56772314;4.384;4.271;10
47.04221856;40.95564667;2.07;2.12;2.08
186.651842;-63.099522;1.41;1.58;10
33.25000133;8.846702351;5.23;4.35;3.68
320.5216646;19.80451042;5.2;4.09;3.3
159.3256268;-48.22566619;4.13;3.84;3.57
54.12241555;48.19263456;4.17;4.23;10
220.6267527;-64.97513301;3.43;3.19;2.96
257.5945287;-15.72490664;2.47;2.42;2.39
199.730407;-23.17151401;3.92;3;2.4
190.4147608;-1.449402127;3.85;3.49;10
17.43301617;35.62055765;3.62;2.05;0.81
326.0464839;9.875008653;3.91;2.39;1.34
227.9836386;-48.73782499;3.67;3.7;3.75
95.52843729;-33.43639895;4.73;3.85;3.18
140.2637509;34.39255929;4.69;3.14;1.91
231.2323909;58.96606586;4.45;3.29;2.51
56.21890454;24.11333785;3.59;3.7;3.71
218.0194653;38.30824808;3.21;3.02;2.88
253;-38.0333;10;2.51;10
113.6504186;31.88849199;10;3;10
163.3735671;-58.85317037;4.74;3.79;3.07
345.2200315;-52.75411086;5.086;4.115;10
319.9666227;-53.44942608;4.641;4.483;5.82
190.3792307;-48.95957685;2.91;2.88;10
54.21826544;0.401664472;5.15;4.3;4.09
206.8155757;17.45689154;4.98;4.49;4.09
197.4970217;17.52945526;4.77;4.32;4.1
334.2084862;-7.783288743;5.15;4.16;3.46
226.0175617;-25.28196958;4.91;3.21;1.6
51.08070872;49.86117929;2.27;1.79;10
283.0543076;-62.18759092;4.048;4.207;10
261.6286697;4.140359379;5.82;4.31;3.22
151.9761255;9.997506875;5.82;4.38;3.26
250.7240206;38.92225492;4.42;3.5;2.83
216.7301338;-83.66788473;5.615;4.304;10
155.5821987;41.49953826;4.64;3.05;1.76
70.56124685;22.95690281;4.138;4.258;10
206.4218497;-33.04371697;4.61;4.23;3.9
102.4638072;-53.62245041;5.323;4.408;10
284.2376208;-67.23349478;5.08;4.4;10
229.3785394;-58.80120702;4.153;4.057;10
12.17060131;7.585081917;5.95;4.44;3.27
132.6330108;-27.70984159;5.27;4.01;3.06
340.128577;44.27630746;5.79;4.46;3.54
4.856976645;-8.82391916;4.77;3.55;2.7
16.52103212;-46.718404;4.98;4.09;10
309.5845187;-1.10511725;5.29;4.33;3.66
345.9692217;3.82004564;4.4;4.52;4.54
26.01701307;-15.93747989;4.22;3.5;2.88
237.405029;-3.43020438;3.49;3.53;3.54
30.97480121;42.32972842;3.3;2.1;1.16
264.8661954;46.00633138;3.63;3.8;10
142.882117;63.06185995;4;3.67;3.33
160.7391749;-64.39445022;2.54;2.76;2.87
234.1800952;-66.31703763;5.27;4.104;10
64.12095061;-59.30215441;5.52;4.44;3.62
275.8068222;-61.49391192;5.834;4.367;10
233.2324256;31.35913227;4;4.13;4.18
83.18256716;-17.82228927;2.77;2.57;2.35
63.60612502;-62.47380349;4.27;3.36;2.71
287.3680896;-37.9044744;4.146;4.087;10
277.2077474;-49.07058832;5.12;4.11;10
260.9206005;37.14594279;4.17;4.17;10
119.5601607;-49.24491521;4.24;4.41;10
103.5331345;-24.18421097;5.6;3.87;2.7
